X,Y,Z
3706.45,7206.57,1068.50
3714.73,7192.26,1081.41
3723.17,7178.12,1094.32
3731.76,7164.14,1107.21
3740.50,7150.34,1120.10
3749.38,7136.71,1132.99
3758.41,7123.25,1145.87
3767.57,7109.97,1158.76
3776.88,7096.86,1171.65
3786.31,7083.92,1184.55
3795.88,7071.17,1197.46
3805.58,7058.59,1210.38
3815.39,7046.18,1223.32
3825.34,7033.96,1236.27
3835.39,7021.92,1249.25
3845.57,7010.05,1262.26
3855.85,6998.37,1275.29
3866.25,6986.87,1288.34
3876.75,6975.55,1301.44
3887.36,6964.42,1314.56
3898.06,6953.46,1327.73
3908.86,6942.70,1340.93
3919.76,6932.11,1354.18
3930.75,6921.72,1367.47
3941.82,6911.50,1380.81
3952.98,6901.48,1394.20
3964.23,6891.64,1407.65
3975.55,6882.00,1421.15
3986.95,6872.54,1434.70
3998.42,6863.27,1448.32
4009.97,6854.19,1462.00
4021.58,6845.30,1475.75
4033.25,6836.60,1489.57
4044.99,6828.10,1503.45
4056.78,6819.79,1517.41
4068.63,6811.67,1531.44
4080.53,6803.75,1545.55
4092.49,6796.02,1559.74
4104.48,6788.48,1574.01
4116.52,6781.15,1588.37
4128.60,6774.01,1602.81
4140.72,6767.06,1617.34
4152.87,6760.32,1631.96
4165.04,6753.77,1646.68
4177.25,6747.43,1661.49
4189.48,6741.28,1676.39
4201.73,6735.33,1691.40
4214.00,6729.59,1706.51
4226.28,6724.05,1721.72
4238.57,6718.71,1737.03
4250.87,6713.57,1752.45
4263.17,6708.64,1767.99
4275.47,6703.92,1783.63
4287.77,6699.40,1799.38
4300.06,6695.08,1815.25
4312.34,6690.98,1831.24
4324.60,6687.08,1847.34
4336.85,6683.39,1863.56
4349.08,6679.91,1879.91
4361.28,6676.64,1896.37
4373.45,6673.58,1912.96
4385.59,6670.73,1929.68
4397.69,6668.10,1946.52
4409.75,6665.68,1963.49
4421.77,6663.47,1980.59
4433.74,6661.47,1997.82
4445.66,6659.70,2015.19
4457.52,6658.13,2032.69
4469.32,6656.79,2050.32
4481.05,6655.66,2068.09
4492.72,6654.75,2085.99
4504.31,6654.05,2104.03
4515.83,6653.58,2122.21
4527.27,6653.33,2140.53
4538.62,6653.30,2158.99
4549.87,6653.49,2177.59
4561.04,6653.90,2196.33
4572.10,6654.53,2215.22
4583.07,6655.39,2234.24
4593.92,6656.47,2253.41
4604.66,6657.78,2272.72
4615.28,6659.31,2292.17
4625.78,6661.07,2311.77
4636.16,6663.05,2331.50
4646.40,6665.26,2351.39
